question_id,year,question_number,format,correct_answer,choice_number,choice_text,is_correct
631,2025,27,5肢択一,3,4,,FALSE
631,2025,27,5肢択一,3,5,,FALSE
632,2025,28,5肢択一,4,1,,FALSE
632,2025,28,5肢択一,4,2,,FALSE
632,2025,28,5肢択一,4,3,,FALSE
632,2025,28,5肢択一,4,4,,TRUE
632,2025,28,5肢択一,4,5,,FALSE
633,2025,29,5肢択一,5,1,,FALSE
633,2025,29,5肢択一,5,2,,FALSE
633,2025,29,5肢択一,5,3,,FALSE
633,2025,29,5肢択一,5,4,,FALSE
633,2025,29,5肢択一,5,5,,TRUE
634,2025,30,5肢択一,2,1,,FALSE
634,2025,30,5肢択一,2,2,,TRUE
634,2025,30,5肢択一,2,3,,FALSE
634,2025,30,5肢択一,2,4,,FALSE
634,2025,30,5肢択一,2,5,,FALSE
635,2025,31,5肢択一,4,1,,FALSE
635,2025,31,5肢択一,4,2,,FALSE
635,2025,31,5肢択一,4,3,,FALSE
635,2025,31,5肢択一,4,4,,TRUE
635,2025,31,5肢択一,4,5,,FALSE
636,2025,32,5肢択一,2,1,,FALSE
636,2025,32,5肢択一,2,2,,TRUE
636,2025,32,5肢択一,2,3,,FALSE
636,2025,32,5肢択一,2,4,,FALSE
636,2025,32,5肢択一,2,5,,FALSE
637,2025,33,5肢択一,3,1,,FALSE
637,2025,33,5肢択一,3,2,,FALSE
637,2025,33,5肢択一,3,3,,TRUE
637,2025,33,5肢択一,3,4,,FALSE
637,2025,33,5肢択一,3,5,,FALSE
638,2025,34,5肢択一,4,1,,FALSE
638,2025,34,5肢択一,4,2,,FALSE
638,2025,34,5肢択一,4,3,,FALSE
638,2025,34,5肢択一,4,4,,TRUE
638,2025,34,5肢択一,4,5,,FALSE
639,2025,35,5肢択一,3,1,,FALSE
639,2025,35,5肢択一,3,2,,FALSE
639,2025,35,5肢択一,3,3,,TRUE
639,2025,35,5肢択一,3,4,,FALSE
639,2025,35,5肢択一,3,5,,FALSE
640,2025,36,5肢択一,1,1,,TRUE
640,2025,36,5肢択一,1,2,,FALSE
640,2025,36,5肢択一,1,3,,FALSE
640,2025,36,5肢択一,1,4,,FALSE
640,2025,36,5肢択一,1,5,,FALSE
641,2025,37,5肢択一,5,1,,FALSE
641,2025,37,5肢択一,5,2,,FALSE
641,2025,37,5肢択一,5,3,,FALSE
641,2025,37,5肢択一,5,4,,FALSE
641,2025,37,5肢択一,5,5,,TRUE
642,2025,38,5肢択一,2,1,,FALSE
642,2025,38,5肢択一,2,2,,TRUE
642,2025,38,5肢択一,2,3,,FALSE
642,2025,38,5肢択一,2,4,,FALSE
642,2025,38,5肢択一,2,5,,FALSE
643,2025,39,5肢択一,4,1,,FALSE
643,2025,39,5肢択一,4,2,,FALSE
643,2025,39,5肢択一,4,3,,FALSE
643,2025,39,5肢択一,4,4,,TRUE
643,2025,39,5肢択一,4,5,,FALSE
644,2025,40,5肢択一,4,1,,FALSE
644,2025,40,5肢択一,4,2,,FALSE
644,2025,40,5肢択一,4,3,,FALSE
644,2025,40,5肢択一,4,4,,TRUE
644,2025,40,5肢択一,4,5,,FALSE
645,2025,41,多肢選択,1,1,,TRUE
645,2025,41,多肢選択,1,2,,FALSE
645,2025,41,多肢選択,1,3,,FALSE
645,2025,41,多肢選択,1,4,,FALSE
646,2025,42,多肢選択,1,1,,TRUE
646,2025,42,多肢選択,1,2,,FALSE
646,2025,42,多肢選択,1,3,,FALSE
646,2025,42,多肢選択,1,4,,FALSE
647,2025,43,多肢選択,1,1,,TRUE
647,2025,43,多肢選択,1,2,,FALSE
647,2025,43,多肢選択,1,3,,FALSE
647,2025,43,多肢選択,1,4,,FALSE
648,2025,47,5肢択一,2,1,,FALSE
648,2025,47,5肢択一,2,2,,TRUE
648,2025,47,5肢択一,2,3,,FALSE
648,2025,47,5肢択一,2,4,,FALSE
648,2025,47,5肢択一,2,5,,FALSE
649,2025,48,5肢択一,4,1,,FALSE
649,2025,48,5肢択一,4,2,,FALSE
649,2025,48,5肢択一,4,3,,FALSE
649,2025,48,5肢択一,4,4,,TRUE
649,2025,48,5肢択一,4,5,,FALSE
650,2025,49,5肢択一,3,1,,FALSE
650,2025,49,5肢択一,3,2,,FALSE
650,2025,49,5肢択一,3,3,,TRUE
650,2025,49,5肢択一,3,4,,FALSE
650,2025,49,5肢択一,3,5,,FALSE
651,2025,50,5肢択一,2,1,,FALSE
651,2025,50,5肢択一,2,2,,TRUE
651,2025,50,5肢択一,2,3,,FALSE
651,2025,50,5肢択一,2,4,,FALSE
651,2025,50,5肢択一,2,5,,FALSE
652,2025,51,5肢択一,3,1,,FALSE
652,2025,51,5肢択一,3,2,,FALSE
652,2025,51,5肢択一,3,3,,TRUE
652,2025,51,5肢択一,3,4,,FALSE
652,2025,51,5肢択一,3,5,,FALSE
653,2025,52,5肢択一,5,1,,FALSE
653,2025,52,5肢択一,5,2,,FALSE
653,2025,52,5肢択一,5,3,,FALSE
653,2025,52,5肢択一,5,4,,FALSE
653,2025,52,5肢択一,5,5,,TRUE
654,2025,53,5肢択一,5,1,,FALSE
654,2025,53,5肢択一,5,2,,FALSE
654,2025,53,5肢択一,5,3,,FALSE
654,2025,53,5肢択一,5,4,,FALSE
654,2025,53,5肢択一,5,5,,TRUE
655,2025,54,5肢択一,2,1,,FALSE
655,2025,54,5肢択一,2,2,,TRUE
655,2025,54,5肢択一,2,3,,FALSE
655,2025,54,5肢択一,2,4,,FALSE
655,2025,54,5肢択一,2,5,,FALSE
656,2025,55,5肢択一,3,1,,FALSE
656,2025,55,5肢択一,3,2,,FALSE
656,2025,55,5肢択一,3,3,,TRUE
656,2025,55,5肢択一,3,4,,FALSE
656,2025,55,5肢択一,3,5,,FALSE
657,2025,56,5肢択一,1,1,,TRUE
657,2025,56,5肢択一,1,2,,FALSE
657,2025,56,5肢択一,1,3,,FALSE
657,2025,56,5肢択一,1,4,,FALSE
657,2025,56,5肢択一,1,5,,FALSE
609,2025,58,5肢択一,2,1,,FALSE
609,2025,58,5肢択一,2,2,,TRUE
609,2025,58,5肢択一,2,3,,FALSE
609,2025,58,5肢択一,2,4,,FALSE
609,2025,58,5肢択一,2,5,,FALSE
610,2025,59,5肢択一,4,1,,FALSE
610,2025,59,5肢択一,4,2,,FALSE
610,2025,59,5肢択一,4,3,,FALSE
610,2025,59,5肢択一,4,4,,TRUE
610,2025,59,5肢択一,4,5,,FALSE
611,2025,60,5肢択一,3,1,,FALSE
611,2025,60,5肢択一,3,2,,FALSE
611,2025,60,5肢択一,3,3,,TRUE
611,2025,60,5肢択一,3,4,,FALSE
611,2025,60,5肢択一,3,5,,FALSE
